EmpID, ProjectID, DateFrom, DateTo
144a, 14, 2018-12-01, NULL
143, 14, 2018-11-01, NULL

213, 10, 2013-01-01, 2015-04-27
143, 10, 2009-01-01, 2011-04-27
141, 10, 2011-05-16, NULL
218, 10, 2012-05-16, NULL
144a, 10, 2010-12-01, 2014-01-05

143, 11, 2013-11-01, 2014-01-05

144a, 12, 2013-12-01, 2014-01-05
215, 12, 2012-05-16, NULL
143, 12, 2013-11-01, 2014-01-05

146, 13, 2009-01-01, 2011-04-27


144a, 15, 2019-02-01, 2019-02-28
143, 15, 2019-01-28, NULL

144a, 2, 2018-10-10, NULL
143, 2, 2018-01-11, 2019-01-28

144a, 3, 2018-10-10, NULL
143, 3, 2018-01-11, 2019-01-27

144a, 1, 2018-10-10, NULL
143, 1, 2018-01-11, 2019-01-01

12, 100, 2019-04-24, NULL
1123123, 100, 2019-04-23, NULL
